lng,lat
19.09841412994858,47.433699849999996
19.1099665,47.5020161
19.0659396,47.5944226
19.0591513,47.4888278
19.0006685,47.4119178
19.0777744,47.5413683
19.067090266666664,47.525717666666665
19.0897318,47.5420677
19.0466814,47.4520191
19.0373092,47.4383183
19.0659396,47.5944226
19.067090266666664,47.525717666666665
19.067090266666664,47.525717666666665
19.0659396,47.5944226
19.0680801,47.5352384
19.0912732,47.5447998
19.1830353,47.5036019
19.065440797176926,47.488151200000004
19.0626902,47.5085518
19.0815498,47.5235227
19.0680801,47.5352384
19.083258801491418,47.53254105
19.0179044,47.5113783
19.0757291,47.5478217
19.0680801,47.5352384
19.0757291,47.5478217
19.089358,47.5353269
19.0680801,47.5352384
19.1282801,47.5251778
19.0427144,47.5865231
19.1065499,47.4353111
19.057884,47.4669104
19.0680801,47.5352384
19.149741253779176,47.51014135
19.0595703,47.5958459
19.0612128,47.4974283
19.0672244,47.5379697
19.0680801,47.5352384
19.0838636,47.5281115
19.073512,47.5319415
19.1242622,47.4828691
19.0373092,47.4383183
19.074120820424106,47.52569555
19.1259098,47.4557868
19.0572667,47.5164147
19.074120820424106,47.52569555
19.0674318,47.5447525
19.0398359,47.4506247
19.074120820424106,47.52569555
19.0897318,47.5420677
19.0373092,47.4383183
19.0756585,47.5516395
19.0445256,47.4698955
19.074120820424106,47.52569555
19.0286858,47.5377156
19.0680801,47.5352384
19.0373092,47.4383183
19.0671648,47.5421182
19.0768993,47.5550569
19.0373092,47.4383183
19.0768993,47.5550569
19.0912732,47.5447998
19.070139375,47.5352794
19.070139375,47.5352794
,
19.0897318,47.5420677
19.070139375,47.5352794
19.070139375,47.5352794
19.1057727,47.4298084
19.077442551686936,47.49145615
19.125375,47.4864485
19.0777744,47.5413683
19.0897318,47.5420677
19.0777744,47.5413683
19.0925062,47.4859017
19.0523116,47.4580298
19.0831302,47.4903056
19.0672244,47.5379697
19.0780351,47.4859878
19.0777744,47.5413683
19.0810473,47.4950741
19.0510498,47.4519786
19.0897318,47.5420677
19.0706763,47.5226561
19.0672244,47.5379697
,
19.0777744,47.5413683
19.0523116,47.4580298
19.0387155,47.479064
19.1021026,47.5276143
19.0659396,47.5944226
19.0407826,47.5323565
19.0555001,47.4747554
19.0777744,47.5413683
19.0840528,47.5239005
19.0582148,47.5315815
19.0840528,47.5239005
19.0912732,47.5447998
19.0912732,47.5447998
19.0777744,47.5413683
19.0281705,47.4730446
18.9981672,47.4473652
19.0288995,47.5565751
19.063855703803114,47.48836905
19.0669176,47.4811174
19.0831302,47.4903056
19.03863,47.4520722
19.0720431,47.489428
19.0427144,47.5865231
19.0831302,47.4903056
19.0662445,47.5116513
19.077442551686936,47.49145615
19.1981229,47.5052979
19.0765786,47.4719395
19.030275652369056,47.554915449999996
19.03276848811147,47.47914255
19.0680801,47.5352384
19.0672244,47.5379697
19.0777744,47.5413683
19.0327115,47.4958995
19.14178313948028,47.5388724
19.0664702,47.4879215
19.0351861,47.5341964
19.1014,47.5289881
19.1217973,47.5220132
19.023354667859216,47.5041818
19.096745,47.4850071
19.0256604,47.5142297
19.1119093,47.5048421
19.0454874,47.5473341
19.073512,47.5319415
19.0767802,47.4860372
19.0692999,47.5208156
19.0897318,47.5420677
19.0281705,47.4730446
19.0853571,47.4224461
19.0219607,47.5522286
19.01063255575413,47.40673925
19.115411723928027,47.501933199999996
19.0702552,47.4862353
19.0843001,47.5059922
19.07568713747951,47.4920288
19.2018647,47.4303287
19.0004995,47.4623692
19.0639631,47.4862767
19.0558921,47.4944494
19.1057329,47.5109423
19.0897318,47.5420677
19.0676623,47.493624
19.0620973,47.5005272
19.0613311,47.595733
19.0611728,47.4916457
19.051494875696953,47.471085450000004
19.1402518,47.5478862
19.0323525,47.5112033
19.1389559,47.4919657
19.0904755,47.548711
19.2946081,47.4690751
19.0777744,47.5413683
19.085362122881754,47.48746085
19.0523116,47.4580298
19.0681964,47.5227429
19.0463284,47.4739892
19.07546392929593,47.473533849999995
19.085362122881754,47.48746085
19.07013864008188,47.477942999999996
19.0334308,47.4719947
19.1931438,47.4454655
19.0777744,47.5413683
19.0392154,47.5437793
19.1605595,47.5235292
19.0281705,47.4730446
19.0860054,47.5027493
19.0656693,47.5036568
19.0831302,47.4903056
19.1232164,47.5143695
19.0182583,47.494375
19.077426,47.4720214
19.1234708,47.483001
19.0447134,47.549033
19.0219607,47.5522286
19.0234032,47.5085421
19.0667758,47.4857834
19.0703042,47.4889454
19.0753475,47.4758761
19.1282801,47.5251778
19.0260778,47.4275301
19.2346277,47.4805719
19.085362122881754,47.48746085
19.1163656,47.5654985
19.085362122881754,47.48746085
19.0735438,47.4934911
19.0637858,47.4887014
19.0831302,47.4903056
19.1286856,47.5124953
19.0799046,47.4720659
19.085362122881754,47.48746085
19.10806,47.57711
19.0588227,47.4076772
19.1136379,47.4253801
19.0405655,47.4506834
