lng,lat,price_per_square_meter
19.09841412994858,47.433699849999996,799818.18
19.1099665,47.5020161,1081666.67
19.0659396,47.5944226,1269642.86
19.0591513,47.4888278,1533977.27
19.0006685,47.4119178,1020000.00
19.0777744,47.5413683,1248026.32
19.067090266666664,47.525717666666665,1378250.00
19.0897318,47.5420677,1272549.02
19.0466814,47.4520191,1591800.00
19.0373092,47.4383183,1231964.29
19.0659396,47.5944226,1136935.48
19.067090266666664,47.525717666666665,1424750.00
19.067090266666664,47.525717666666665,1548064.52
19.0659396,47.5944226,1368181.82
19.0680801,47.5352384,1166666.67
19.0912732,47.5447998,1367391.30
19.1830353,47.5036019,951162.79
19.065440797176926,47.488151200000004,883561.64
19.0626902,47.5085518,1058000.00
19.0815498,47.5235227,1339024.39
19.0680801,47.5352384,1108676.47
19.083258801491418,47.53254105,1198000.00
19.0179044,47.5113783,1455882.35
19.0757291,47.5478217,1426190.48
19.0680801,47.5352384,1253157.89
19.0757291,47.5478217,1432075.47
19.089358,47.5353269,1268253.97
19.0680801,47.5352384,1118571.43
19.1282801,47.5251778,1121212.12
19.0427144,47.5865231,1329333.33
19.1065499,47.4353111,669387.73
19.057884,47.4669104,2010204.08
19.0680801,47.5352384,1140000.00
19.149741253779176,47.51014135,1280434.78
19.0595703,47.5958459,938636.36
19.0612128,47.4974283,1341791.04
19.0672244,47.5379697,1340600.00
19.0680801,47.5352384,1141571.43
19.0838636,47.5281115,1304761.90
19.073512,47.5319415,1044642.86
19.1242622,47.4828691,1160000.00
19.0373092,47.4383183,1283928.57
19.074120820424106,47.52569555,1224358.97
19.1259098,47.4557868,614285.71
19.0572667,47.5164147,998333.33
19.074120820424106,47.52569555,1416455.70
19.0674318,47.5447525,1732558.14
19.0398359,47.4506247,1454385.96
19.074120820424106,47.52569555,1372340.43
19.0897318,47.5420677,1332941.18
19.0373092,47.4383183,1249821.43
19.0756585,47.5516395,1762820.51
19.0445256,47.4698955,1565384.62
19.074120820424106,47.52569555,1252173.91
19.0286858,47.5377156,1153448.28
19.0680801,47.5352384,1172727.27
19.0373092,47.4383183,1258928.57
19.0671648,47.5421182,1455555.56
19.0768993,47.5550569,1258490.57
19.0373092,47.4383183,1301785.71
19.0768993,47.5550569,1260975.61
19.0912732,47.5447998,1275925.93
19.070139375,47.5352794,1427272.73
19.070139375,47.5352794,1415555.56
,,1000000.00
19.0897318,47.5420677,1451515.15
19.070139375,47.5352794,1632500.00
19.070139375,47.5352794,1522222.22
19.1057727,47.4298084,737837.84
19.077442551686936,47.49145615,1385106.36
19.125375,47.4864485,901923.08
19.0777744,47.5413683,1518644.07
19.0897318,47.5420677,1259420.29
19.0777744,47.5413683,1407446.81
19.0925062,47.4859017,816363.64
19.0523116,47.4580298,1949767.44
19.0831302,47.4903056,1194047.62
19.0672244,47.5379697,1497608.70
19.0780351,47.4859878,1357608.70
19.0777744,47.5413683,1381428.57
19.0810473,47.4950741,679166.67
19.0510498,47.4519786,1999285.71
19.0897318,47.5420677,1232467.53
19.0706763,47.5226561,1030158.73
19.0672244,47.5379697,1709687.50
,,1040425.53
19.0777744,47.5413683,1427619.05
19.0523116,47.4580298,1788000.00
19.0387155,47.479064,1260655.74
19.1021026,47.5276143,782352.94
19.0659396,47.5944226,1234883.72
19.0407826,47.5323565,1426190.48
19.0555001,47.4747554,1817435.90
19.0777744,47.5413683,1152564.10
19.0840528,47.5239005,1259230.77
19.0582148,47.5315815,1531836.73
19.0840528,47.5239005,1141578.93
19.0912732,47.5447998,1331250.00
19.0912732,47.5447998,1263855.42
19.0777744,47.5413683,1276250.00
19.0281705,47.4730446,1422033.90
18.9981672,47.4473652,1431034.48
19.0288995,47.5565751,816981.13
19.063855703803114,47.48836905,1046511.63
19.0669176,47.4811174,880882.35
19.0831302,47.4903056,1310487.80
19.03863,47.4520722,900000.00
19.0720431,47.489428,836448.60
19.0427144,47.5865231,1924788.73
19.0831302,47.4903056,1391379.31
19.0662445,47.5116513,851351.35
19.077442551686936,47.49145615,1476041.67
19.1981229,47.5052979,1160714.29
19.0765786,47.4719395,1632692.31
19.030275652369056,47.554915449999996,1662500.00
19.03276848811147,47.47914255,1361363.64
19.0680801,47.5352384,1131136.36
19.0672244,47.5379697,1362727.27
19.0777744,47.5413683,1293650.79
19.0327115,47.4958995,1198000.00
19.14178313948028,47.5388724,979245.28
19.0664702,47.4879215,859375.00
19.0351861,47.5341964,1069047.62
19.1014,47.5289881,950000.00
19.1217973,47.5220132,1245614.04
19.023354667859216,47.5041818,1794318.18
19.096745,47.4850071,808108.11
19.0256604,47.5142297,1288117.65
19.1119093,47.5048421,1017142.86
19.0454874,47.5473341,1616666.67
19.073512,47.5319415,1009677.42
19.0767802,47.4860372,1858536.59
19.0692999,47.5208156,969696.97
19.0897318,47.5420677,1365370.37
19.0281705,47.4730446,1422033.90
19.0853571,47.4224461,712500.00
19.0219607,47.5522286,1127419.35
19.01063255575413,47.40673925,1312500.00
19.115411723928027,47.501933199999996,1107407.41
19.0702552,47.4862353,958585.86
19.0843001,47.5059922,1063333.33
19.07568713747951,47.4920288,1166666.67
19.2018647,47.4303287,9857142.86
19.0004995,47.4623692,1807692.31
19.0639631,47.4862767,826771.65
19.0558921,47.4944494,2128571.43
19.1057329,47.5109423,852727.27
19.0897318,47.5420677,948979.59
19.0676623,47.493624,1225806.45
19.0620973,47.5005272,1151923.08
19.0613311,47.595733,892424.24
19.0611728,47.4916457,1444444.44
19.051494875696953,47.471085450000004,1129729.73
19.1402518,47.5478862,994285.71
19.0323525,47.5112033,1249916.67
19.1389559,47.4919657,645454.55
19.0904755,47.548711,839622.64
19.2946081,47.4690751,724657.53
19.0777744,47.5413683,1370000.00
19.085362122881754,47.48746085,1645000.00
19.0523116,47.4580298,1994754.10
19.0681964,47.5227429,1280175.44
19.0463284,47.4739892,1397058.82
19.07546392929593,47.473533849999995,1718409.09
19.085362122881754,47.48746085,1213023.26
19.07013864008188,47.477942999999996,1125352.11
19.0334308,47.4719947,923728.81
19.1931438,47.4454655,1156250.00
19.0777744,47.5413683,1232467.53
19.0392154,47.5437793,1136060.61
19.1605595,47.5235292,877551.02
19.0281705,47.4730446,1164583.33
19.0860054,47.5027493,928571.43
19.0656693,47.5036568,1303913.04
19.0831302,47.4903056,1202222.22
19.1232164,47.5143695,901612.90
19.0182583,47.494375,1382926.83
19.077426,47.4720214,1549180.33
19.1234708,47.483001,1110888.89
19.0447134,47.549033,707692.31
19.0219607,47.5522286,1153589.74
19.0234032,47.5085421,1412698.41
19.0667758,47.4857834,682178.22
19.0703042,47.4889454,1160535.70
19.0753475,47.4758761,1412162.16
19.1282801,47.5251778,945454.55
19.0260778,47.4275301,980196.08
19.2346277,47.4805719,961111.11
19.085362122881754,47.48746085,1392272.73
19.1163656,47.5654985,693387.10
19.085362122881754,47.48746085,1253695.65
19.0735438,47.4934911,1358400.00
19.0637858,47.4887014,1170212.77
19.0831302,47.4903056,1234782.61
19.1286856,47.5124953,886363.64
19.0799046,47.4720659,1445312.50
19.085362122881754,47.48746085,1851600.00
19.10806,47.57711,767307.69
19.0588227,47.4076772,616363.64
19.1136379,47.4253801,724750.00
19.0405655,47.4506834,1623750.00
19.0777744,47.5413683,1367142.84
19.07107555636435,47.4277133,687500.00
19.0363897,47.5455552,999705.88
19.085362122881754,47.48746085,1387727.27
19.0616087,47.4891773,1046153.85
